#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
231,ITA,Fabio,CANNAVARO,CANN,CANNITA,3,270,26.72,99,9.97,10.08,20.75,170,14,14
112,ITA,Giorgio,CHIELLINI,CHIE,CHIEITA,3,270,30.44,112.7,11.95,11.58,26.2,157,16,19
130,ITA,Domenico,CRISCITO,CRIS,CRISITA,3,226,24.98,110.5,9.97,9.21,26.2,131,13,15
75,ITA,Daniele,DE ROSSI,DE R,DE RITA,3,270,31.76,117.6,13.3,11.13,23.63,154,23,18
170,ITA,Vincenzo,IAQUINTA,IAQU,IAQUITA,3,270,28.69,106.3,12.71,8.99,29.92,162,13,17
66,ITA,Riccardo,MONTOLIVO,MONT,MONTITA,3,236,27.99,118.6,12.14,10.03,24.83,136,17,21
107,ITA,Simone,PEPE,PEPE,PEPEITA,3,226,25.67,113.6,10.96,8.14,26.43,134,14,17
128,ITA,Gianluca,ZAMBROTTA,ZAMB,ZAMBITA,3,270,29.89,110.7,12.17,10.82,29,164,15,20
80,CIV,Emmanuel,EBOUE,EBOU,EBOUCIV,3,251,29.37,117,12.54,11.68,26.02,150,17,17
45,CIV,Ismael,TIOTE,TIOT,TIOTCIV,3,270,32.69,121.1,13.62,13.82,22.63,154,19,21
77,CIV,Yaya,TOURE,TOUR,TOURCIV,3,270,31.73,117.5,13.9,12.8,23.43,156,21,17
202,CIV,Kolo,TOURE,TOUR,TOURCIV,3,270,27.78,102.9,10.88,11.43,24.46,168,14,13
250,CIV,Didier,ZOKORA,ZOKO,ZOKOCIV,3,270,24.5,90.7,9.31,10.59,26.39,170,11,12
61,JPN,Yuki,ABE,ABE,ABEJPN,3,270,32.19,119.2,8.91,15.58,27.09,157,18,22
33,JPN,Yasuhito,ENDO,ENDO,ENDOJPN,3,269,33.18,123.3,9.95,15.61,25.94,152,20,22
51,JPN,Makoto,HASEBE,HASE,HASEJPN,3,255,30.7,120.4,9.04,14.14,26.7,151,19,21
52,JPN,Keisuke,HONDA,HOND,HONDJPN,3,270,32.49,120.3,10.14,13.79,28.11,155,19,21
94,JPN,Yuichi,KOMANO,KOMA,KOMAJPN,3,270,31.12,115.3,9.5,13.74,25.77,158,16,20
69,JPN,Daisuke,MATSUI,MATS,MATSJPN,3,207,24.5,118.4,7.53,10.89,24.32,135,14,17
